text,avaliacao
O óbvio precisa ser dito 😑,neutro
É isso! ❤️👏🏾👏🏾👏🏾,positivo
Dá-lhe galera! Colocar as cartas na mesa e ter que explicar tim-tim por tim-tim pra essa galera oportunista que copia conteúdo ótimo e didático para se fazer em cima. Vida longa ao podcast e vida longa à nossa jornada!,positivo
"Olhar esse vídeo e pensar ""caralho....eu não tô sozinha""....da uma sensação de conforto e tranquilidade... obrigada por isso gente♥️♥️",positivo
Kid,neutro
Porta do inferno abriu,odio
❤️❤️,positivo
Viva o amor 🩷❤️🖤💛🤍🧡,positivo
"Já quero muito ouvir, amei!",positivo
Eu amey!!!!! ❤️❤️❤️,positivo
Eu era de um casal unicórnio.. mas levei chifre de verdade💔🥲,positivo
❤️❤️,positivo
aaaaaah q delícia!!!!! ❤️😍,positivo
Viva a diversidade ❤️,positivo
Lindas! 😍❤️,positivo
Adoreiiii,positivo
Episódio das Unicornias!! ❤️❤️❤️,positivo
Episódio das Unicornias!! ❤️❤️❤️,positivo
Lindaaas!! 💚,positivo
O amor mão tem rótulos!!!❤️❤️,positivo
Aaaaah 😍,positivo
Me identifico muito com o assunto tratado neste este episódio.❤️,positivo
"O episódio que eu mais ri fazendo, foi muito bom!! 😍",positivo
😂😂😂😂😂😂😂😂😂😂😂😂😂😂,odio
"Está na hora de TODOS começarem a RESPEITAR a vivência pessoal de cada pessoa trans.  Eu sou uma mulher trans que também sou 100% feliz, satisfeita, completa e realizada com a minha genital de nascença, se isso acontece com muitas travestis pq tá tá dificuldade em aceitar que homens trans também podem se sentir confortáveis e amarem as suas genitais de nascença?  Gente, pelo amor de Deus, não dá pra tentar abrir a mente para algumas coisas e se manter preconceituosos para outros, a empatia e o respeito não pode ser seletivos, se a pessoa não está ofendendo o seu direito de ser e existir, então não faça isso com ele também.  Pessoas trans existem SIM e nem sempre elas desejam mudar de genital, cada um tem uma vivência pessoal e essa vivência DEVE SER RESPEITADA.",positivo
Concordo! Chega de transfobia!!!!!,positivo
"Se aceitem etc, cria configurações dentro da própria comunidade agora falar criança trans daí já perde a moral",odio
Boyceta poder ❤️🔥,positivo
No fim é sobre isso: aceitar o corpo e subverter a norma que fixa gênero a genitálias.,positivo
@acrisfaria,positivo
Meu bar sapatão favorito em SP,positivo
"Mente vazia, oficina de Esquerdista",odio
"Pois eu sou sapatão, desfem, com muito orgulho.",positivo
Eu quero,positivo
@amoiramara,neutro
🔥🔥o bar perfeito existe,positivo
Eu quero,positivo
Eu quero,positivo
"Cabe todo Mundo !!!! 🏳️‍🌈 A sapatão , a “feminina” , o gay , a gay…  a nova, a velha ! O que não cabe é o preconceito, seja ele homofóbico,…. etarista !",positivo
Eu quero,positivo
Se tem cerveja gelada e copo americano para mim já tá ótimo,positivo
Ressignificar para não se limitar,neutro
Legal demais,positivo
Existe tb o Tomboy,neutro
Prefiro ser entendida kkkkk,neutro
Sou fã,positivo
