text,is_hate,source
Dá-lhe galera! Colocar as cartas na mesa e ter que explicar tim-tim por tim-tim pra essa galera oportunista que copia conteúdo ótimo e didático para se fazer em cima. Vida longa ao podcast e vida longa à nossa jornada!,0,original
Porta do inferno abriu,1,original
Prefiro ser entendida kkkkk,0,original
"Meu Deus, nem elas se entendem! 😂😂😂😂😂😂😂😂😂😂",1,original
"no meu ponto de vista é apenas uma questão de preferência e conforto mesmo. pessoas podem escolher se relacionar com quem tem experiências de vida semelhantes as suas, por N motivos, e esta tudo bem sabe… isso é lesbocentrar. assim como pessoas bis podem querer se relacionar apenas com bis, trans apenas com trans, negros apenas com negros e etc. é sobre dar prioridade a estar com os seus! coisa mais normal do mundo e por muitas vezes saudável! mas por algum motivo sempre querem pegar no pé de lésbicas 🙄",0,original
Desde de sempre tentaram controlar a gente. O que a gente pode ou não ser ou fazer.,0,original
Maravilhosa nossa escritora trans,0,original
Termo de retardado. Em respeito aos demais.,1,original
Kkkkkkkkkkkkkkkkkkkkkk,1,original
"Falta do que fazer, criação do diabo isso ai",1,original
Nem todas mulheres ou homens vão ser iguais. Não apoio nem condeno. Mas é possível q a pessoa não seja padrão. Não teremos só loira odonto nem macho alfa,0,original
Daqui a pouco aparece os pinceta e os cuceta 😂,1,original
Isso é uma vergonha pra nós seus rediculos,1,original
"Existem homens e mulheres, o restante é gambiarra do diabo.",1,original
Quanto maluco em uma publicação só kkkkkkkkk,1,original
"Gente, minha mãe é psicologa do caps, disse que a boyceta fugiu e esta tendo alucinações, fiquem longe, essa doença é transmissível. A polícia já está procurando ela 🙌",1,original
O que porra é boyceta? 😂 Eita mundão louco,1,original
Que b💩sta,1,original
"Kkkkkkkkkkkkkkkk carai, estamos perdidos",1,original
😂😂😂😂 antigamente era difícil ser ga. Agora e esse pantinho de Lbgtamabaalansjsvz  kkkkk,1,original
"Kkkkkkkkk pessoas assim tem que ter acompanhamento não podem tomar decisões, isso foge da realidade! E quem ve coisa imaginaria é  o que ? Coisas que não existem ? É louco não tem condições de tomar decisões sérias e discernir o que é real ou mentira",1,original
Kkkkkkkkkkkkkkkkkkkkkk,1,original
"Termo muito nojento e nos resumi a isso. Tanta luta bonita no início de tudo, pra chegar aqui e ser isso?!? Kkkk Uns caras que querem respeito usando uma bosta de palavras que tá ligada a fetiche? Só abrir sites adultos que logo vemos, somos resumidos a um órgão e foda-se? Por isso que corro pra longe dessa comunidade nos dias de hoje, tem muita luta relevante e outras é um lixo que só",1,original
Kkkkkkkkkkkkkkk,1,original
Tá repreendido satanás,1,original
Q merda.,1,original
O tanto de trabalho que o psiquiatra desse povo tem,1,original
"kkkkkkkkkkkkkkkkkk q povo esquizofrênico. Quanto mais o tempo passa, mas eu quero me ver livre dessa ""comunidade"" esquizo",1,original
Ri di cu lo,1,original
Meu Deus  vcs já não sabem o q ué são!  Já está ficando ridículo  isso !,1,original
É cada termo que o dicionário está ficando louco 😂😂😂,1,original
“Boyceta” kkkkkkkkkkkkkkkkkkkkkkkkkkk os cara tem uma criatividade do caralho mano,1,original
Extrema direita ? Acho que a humanidade não sabe oq é boyceta kkkkkkkkk,1,original
Vai capinar um lote cabra sem vergonha,1,original
Isso faz ridicularizar a classe toda! Doença,1,original
Kkkkkkkkkkkkkkk,1,original
"pelo jeito hoje você acordou se sentindo uma lapiseira, os grandes poetas perdem pra você, medo de você acordar um uc amanhã e falar mais merda kkkkkkkkkkkkk",1,original
"Cara cada vez mais me apavoro pro caminho que essas pessoas tão indo! Caramba é cada besteira que vcs falam, que no final nem vcs próprios se entendem kkkkkk",1,original
Vergonha da comunidade L.G.B.T,1,original
"Joga uma carteira de trabalho nesse ""Ser"" é isso que tá faltando uma roça de juquira pra acabar com essa merda.",1,original
"Kkkkkkkkkkkkkkkkkkkk até quem é de esquerda acha piada, para com essa historinha de ""extrema direita""... 😂😂😂",1,original
"Isso é inadmissível, usar nossa pauta como pânico moral!",0,original
"Quando penso que vi tudo eis que aparece um extraterreste boyceta ou que caralho é a identificar-se de cagalhão 🤣🤣 para quem gosta de merda saiu aqui um belo prato 🤦‍♂️ fazer o quê? Uma pá resolvia muito problema, era só tacar 🔥 em toda esta bandalheira 🤣",1,original
"Alguém explica o q é não binário pra elo, pq elo está se contradizendo kkkkk",1,original
"Torcendo pra Jesus voltar logo,pq vai saber onde vamos parar desse jeito !",1,original
Kkkkkk,1,original
Acho os trans muito corajosos. Dá trabalho fazer a transição. É um processo diário. É ridículo achincalhar.,0,original
"Perdidos e desequilibrados,  não se aceitam  e o pior dizem que temos que aguentar, respeitar, mas não respeitam quem é contra. Mulher olha no espelho, se ame, se cuide",1,original
Que b💩sta,1,original
Boyceta kkkkkkkkkkkkkk eu fico impressionado é com a criatividade 😂😂😂,1,original
"Você ta certissima 
Errado foi o psiquiatra que deu alta",1,original
Vou nem comentar pois o presidente de vocês está censurando é tudo kkkkkkkkk,1,original
"O IMPORTANTE É SER DO BEM E VOCÊ É DO BEM,  O LADO QUE TE CRITICA , É O MESMO LADO QUE SE POSICIONOU A FAVOR DA ESCRAVIDÃO,  DA TORTURA E DO FIM DOS DIREITOS TRABALHISTAS ... AO INFERNO COM ELES ... NÃO PASSARÃO.",0,original
Saudades da época sem essas palhaçada na internet,1,original
"Agora vou falar uma coisa que minha comunidade que sempre lutei e sempre dei tudo de mim. O povo da própria comunidade fazendo preconceito com outros elementos da causa.... Aí quando sofrer preconceito reclama ahahha... Muita gente acha que a gente é aberração ainda tá, nunca se esqueçam disso 🙂 da próxima vez que fizerem preconceito com alguém da comunidade lembrem-se de todas as vezes que choraram de todas as vezes que apanharam na escola... Que alguém te chamou de aberração na rua 😢",0,original
😂😂😂😂😂😂 que merda,1,original
🤢,1,original
KKKKKKKKKKKKKKKKK FEIO DEMAIS,1,original
Meu ovos todes kkkkk,1,original
Kkkkkkkkk que porra é isso,1,original
Que vexame kkkkkkkkkk,1,original
Kkkkkkkkkkkkkkk ganhou os 5 minutos de fama que ele/ela/nos/ vos/eles queria! Da nem pra saber como chamar 🫠,1,original
kkkkkkkk boyceta,1,original
Falta de boyrola isso sim,1,original
R.i.di.cu.l.o,1,original
Vergonha pra comunidade L.G.B.T,1,original
Vergonha pra comunidade LGBT,1,original
Nossa a página eh um sucesso em...tem mtos seguidores 😂😂😂😂😂😂😂 isso chega a ser melhor q stand up,1,original
Jesus volta logo 😢,1,original
Mistura de capeta com demônio 👿😂😂😂😂,1,original
"Até que te segue é doente, não tem no mínimo uma foto de perfil 🤣🤣🤣",1,original
O.massacre que ele está sofrendo no app vizinho é absurdo. Virou chacota nacional. Tristeza.,0,original
Lkkkkkkkkkkkkkkkkkk,1,original
Kkkkkkkkkkkkkkkkkkkkkkk kkkkkkk,1,original
Vcs complicam demais. Que confusão. É tanto termo de identificação que vocês acabam passando vergonha.,1,original
Mano quanta bizarrice. O ser humano está doente na alma.,1,original
"Parabéns, vc fala dois idiomas, português e merd@!. 🤮",1,original
"E muitos HT seguem essa galera, principalmente, no que tange relacionamento, estilo de vida, não é só a masculinidade frágil deles. Não saber a nossa história acaba nisso. Mandaram muito nesse tema kkkk",0,original
"Meu Deus, É muita Firula ideológica !!!",1,original
Pare de palhaçade kkkkk😂😂,1,original
"transmed é quase a mesma coisa que falar que ser trans é doença, o que um laudo médico tem a ver com o gênero de alguém??",0,original
Adorei a fala neste corte! Feliz em conhecer mais existências que buscam romper as normas da nossa sociedade adoecida! Força e luz a todes!,0,original
@entre_amigues @jupi77er  vocês são engraçados é tipo o Mussun o cebolinha que falam errado. Não binário queer boyceta amigues todes TODA ESSA PALHAÇADA NÃO EXISTE  máximo respeito a pessoa de vocês só façam um favor pra sociedade não tenham filhos só isso já tá bom pois assim daqui 20 anos essa palhaçada não terá sequência e o Brasil volta ao normal,1,original
🤮🤮🤮🤮🤮🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,original
Depois do boyceta pode parar ja cagou no pau kkkkk,1,original
Que b💩,1,original
Kkkkkkkkkkkkkk,1,original
"“Identificação trans tinha que ser menos burocrática”
Isso, ai vamo enfiar uns doido fetichista e desequilibrado se passando por pessoa trans dentro dos banheiros e vestuários femininos. 
A militância trans se perdeu totalmente em pautas absolutamente sem importância.",1,original
Ó o Boycetao aí KKKKK,1,original
"Genteeeeeee vcs estão me deixando loucaaaaaaa , já não consigo mais entender nadaaaaaaaaa PQP",0,original
"Quer dizer que a identidade da pessoa, só vai ""validar"" por uma merda de laudo médico? Por isso que a comunidade é chacota pra alguns 🙄",1,original
"Então se tá tudo bem com pêlos no corpo, cara e musculatura de macho, então vamos cancelar as transições né more, tão fácil julgar o mundo pela sua cabecinha desconstruída, lembra que tem um monte de menina trans sofrendo com o corpo que te E QUE NÃO ESCOLHEU,  a transição é uma forma se SE ADEQUAR PRA NÃO SOFRER TANTO NA FRENTE DO ESPELHO,  ninguém transiciona pelos outros a gente que é mulher trans faz isso pra se sentir bem, ENTENDA!  Povinho desconstruide.",1,original
É inacreditável isso lkkkkk,1,original
"Olhando para ti fico apavorado onde o mundo chegou. De verdade, eu tento entender o que passa na cabeça de vocês e só vejo 💩💩",1,original
Até os lgbtqia+$%&$#* não se entendem. Querem romper com estereótipos e classificações criando mais estereótipos e classificações.  As pessoas são o que são. A individualidade de cada um não devia nem ser discutida. Apenas seja. Trans med. Kkkkkk fala sério. Boyceta. Piada,1,original
E a transmerda é oque 💩,1,original
"Perfeito e muito bem colocado! O corpo é uma roupagem da nossa essência e personalidade, não o contrário. A sociedade como um todo deveria inserir novas formas de socialização e comunicação sem a pré-determinação da aparência.",0,original
Depois falam que o problema do Brasil e o governo kkkkk um bom dia a todes,1,original
"Imagina a gente chegar num médico e pedir receita e laudo para poder comprovar que sofremos lgbtfobia? Enquanto isso pessoas hetero sofrendo até transfobia. Mas foi confundido, como comprova? Por isso a linguagem tem importância grande para nomear as coisas e estabelecer essas relações conceituais, senão elas não serão reconhecidas e acolhidas pela justiça e os meios que possam nos proteger e garantir direitos. Por isso uma coisa tão boba como a palavra ""todes"" é rejeitada com tanto ódio. Não nos dão o direito de existir enquanto não for reconhecido e validado. Tem a importância de ter nome retificado. Mas não precisa comprovar num papel nossa sexualidade e identidade de gênero para ela ser real.",0,original
"Caraca, não conhecia esse termo. Ainda bem que nunca cruzei com nenhum kkkkk",1,original
Mano que vergonha alheia,1,original
Errada tá a psiquiatra,1,original
Kkkkkkkkkkk sla cara que merda kkk,1,original
Estou a procura do pescoço desse dinossauro,1,original
"Pra mim só existe o macho e a fêmea ,foi  o que Deus deixou,resto e modismos",1,original
Meu deus! Desver,1,original
Falta de internação em algum manicômio 💩💩,1,original
"Sou trans e graças a deus esse termo boyceta nunca vai me representar 🙌 inclusive odeio graças a vc tenho que ficar aguentando a própria comunidade LGBTQIA+ me chamando dessa forma horrenda, parabéns vc tá conseguindo invalidar uma luta que não é só sua, vc deu a brexa que eles precisavam pra invalidar todos nós 👏👏",0,original
🤢🤢🤢🤢,1,original
Meu Deus  kk,1,original
Isso é pior que merda,1,original
Mais que merda é essa hein,1,original
Mont3 d3 💩,1,original
Doença !,1,original
kkkkk,1,original
🤮🤮💩,1,original
💩💩💩,1,original
Meu deus 😂💩,1,original
KKKKKKKKKKKKKKKKKKK,1,original
Quanta 💩,1,original
Dina d deve tá se retorcendo no caixão vendo umas merda dessa falar que é rap kkkk,1,original
Esses povo não intendi a vergonha que passa 😂😂😂,1,original
Do jeito que o CAPS gosta 😂,1,original
"Deus criou homem e mulher, agora o gordo ou magro nada ver ,agora desobedecer, kkkkk faça o favor de pensar no futuro e de exemplo....quer aparecer da forma mais ridícula. Afinal depois de quase uma semana vc decidiu o que vc é?",1,original
Isso é doença  física e mental 😮,1,original
KKKKKKKKKKKKKKKKK FEI DEMAIS,1,original
"Realmente desobedece,te deixando com saúde precária e influenciando outros é romantizar uma doença.",1,original
"Desobedecer a regra número 1 dos anjos caídos. Muito bom, o inferno tá cheio ! 👏🏾👏🏾",1,original
esquizofrenia kkkkk,1,original
Kkkkkkkkkkkkkkkkkkk,1,original
gordo agr e minoria ? kkkkkkk,1,original
"A Realidade é muito triste..mais é no subúrbio que vive o boyceta..Pegar. O trem é arriscado, trombar com outros boyceta naquele  trem lotado..numa briga de boyceta quem sai perdendo são os boy  ceta.cetaligado😂😂😂😂😂..Fiz um Rap",1,original
Kkkkk tratamento urgente né! 🤣,1,original
Kkkkkkkk muita loucura,1,original
"Muito e um merda 😂😂, porá de gênero, homem e mulher sempre 🗿🗿",1,original
não sabe nem o que tá falando 🤮 falou falou e falou e eu não entendi boyceta nenhuma,1,original
Eu tenho poróki. Posso ser também? Já que não é uma coisa meio construída eu declaro que sou boyceta machocispiroqueceta.,1,original
Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,original
Isso e falta de porrada,1,original
🤣🤣🤣 Tem que rir pra não chorar 🤣,1,original
"nossa meu fi, cê é um desservico pra comunidade",0,original
Palhaçada!,1,original
Acompanhamento psicológico resolve.,1,original
"Mds, que bosta é essa. Ele deve ter sido a única criança que não sofreu bullying, por isso que está assim desse jeito. Deus perdoa, pois eles não sabem o que fazem ou como agem.",1,original
E menino ou menina tudo estranho envergonha os lados,1,original
Até lucifer riu dessa merda🤣,1,original
"Meu Deus do céu... A pessoa é cem coisas em uma só... Eu não dou conta de ser eu mesma. Fico imaginando ser boyceta, gênero fluído, trans... Ou seja, a pessoa não sabe o que é e fica inventando um monte de nome... Ah, será que boyceta é uma pessoa que tem bucet@ mas acha que é homem???",1,original
Não entendi boyceta nenhuma KAKAKKAKAKKAKAKAKAKKAKAKKA,1,original
A sociedade humana esta se transformando em um esgoto a céu aberto. Precisa urgente um cometa vir e acabar com tudo e dar um reset neste planeta. Ou voltarmos no tempo e desviar o cometa que caiu e os dinossauros evoluírem em lugar dos primatas.,1,original
Cada coisa que aparece só aparece merda !,1,original
"Ia comentar no seu vídeo explicativo sobre o termo “boyceta” mas os comentários estão bloqueados. Passando aqui pra dizer que te vi no @papodemachona e sou mulher cis hetero, vivendo com HIV, e super apoio seu movimento. Podemos ser o que quisermos ser e ninguém tem nada com isso. Continue sendo você e com sua autoconfiança. O ódio que vem do outro só diz respeito ao outro. Arrasou! 👏👏👏👏",0,original
Que b💩st4aaaaaaaaaaaaaaaaaaa,1,original
Meu paue KKKKKKKKKKKKK,1,original
